MCU_linear_response.csvtime,Y4_sat,angle_setpoint
0.558542,4.460638,4.465208
0.559513,4.475808,4.480228
0.560598,4.492180,4.496901
0.561600,4.506149,4.511321
0.562550,4.522672,4.526341
0.563526,4.537091,4.541361
0.564516,4.551811,4.556382
0.565507,4.567282,4.571702
0.566708,4.582603,4.589427
0.567536,4.598525,4.602344
0.568523,4.612944,4.617665
0.569533,4.628716,4.632835
0.570508,4.643736,4.647706
0.571481,4.658456,4.662876
0.572509,4.674227,4.678197
0.573490,4.689248,4.693367
0.574517,4.705470,4.709139
0.575541,4.719589,4.724760
0.576532,4.735060,4.739630
0.577512,4.750681,4.754651
0.578483,4.765251,4.769671
0.579477,4.780421,4.784691
0.580512,4.795742,4.800463
0.581519,4.811814,4.815633
0.582483,4.826384,4.830503
0.583497,4.842155,4.845974
0.584476,4.856725,4.860995
0.585522,4.871895,4.876616
0.586541,4.887066,4.892087
0.587570,4.902537,4.907708
0.588530,4.918458,4.922578
0.589540,4.933479,4.937449
0.590542,4.948800,4.953220
0.591761,4.965022,4.971395
0.592593,4.980042,4.984162
0.593573,4.994011,4.999182
0.594535,5.009332,5.014203
0.595642,5.024953,5.030425
0.596555,5.039823,5.044093
0.597565,5.054994,5.059865
0.598513,5.070014,5.074584
0.599421,5.085335,5.088553
0.600435,5.100505,5.103724
0.601607,5.115826,5.121598
0.602758,5.133250,5.139172
0.603537,5.146468,5.151038
0.604507,5.161488,5.165908
0.605535,5.176809,5.181530
0.606501,5.191979,5.196249
0.607684,5.207150,5.214574
0.608684,5.223372,5.229445
0.609799,5.238843,5.243714
0.610624,5.253563,5.258434
0.611561,5.268734,5.273304
0.612524,5.284204,5.288324
0.613649,5.299075,5.304396
0.614521,5.314095,5.318365
0.615654,5.329266,5.335338
0.616530,5.345337,5.349307
0.617456,5.360057,5.363727
0.618536,5.374928,5.379648
0.619618,5.390248,5.395570
0.620581,5.405419,5.410290
0.621535,5.421040,5.425310
0.622659,5.436661,5.442584
0.623531,5.452132,5.455801
0.624547,5.468054,5.471873
0.625687,5.482323,5.488846
0.626615,5.497794,5.502815
0.627497,5.512214,5.516484
0.628469,5.527534,5.531654
0.629536,5.542855,5.547426
0.630524,5.558627,5.562897
0.631572,5.573196,5.578668
0.632498,5.588517,5.592787
0.633482,5.603688,5.607958
0.634496,5.619009,5.623429
0.635500,5.634029,5.638750
0.636501,5.649650,5.653920
0.637514,5.665121,5.669241
0.638482,5.679991,5.684261
0.639518,5.695162,5.699432
0.640517,5.710933,5.714753
0.641508,5.725503,5.730224
0.642553,5.742176,5.746145
0.643671,5.757797,5.763118
0.644581,5.771916,5.776787
0.645563,5.787387,5.791957
0.646534,5.802708,5.806677
0.647497,5.817277,5.821548
0.648511,5.832298,5.836718
0.649487,5.847468,5.851588
0.650550,5.863240,5.867810
0.651582,5.878410,5.883281
0.652513,5.893581,5.898001
0.653487,5.908601,5.912721
0.654459,5.923622,5.926690
0.655508,5.938942,5.943513
0.656485,5.954263,5.958383
0.657479,5.969434,5.973704
0.658470,5.984604,5.988874
0.659485,5.999925,6.004195
0.660488,6.015997,6.019516
0.661469,6.030416,6.034536
0.662512,6.045587,6.050007
0.663492,6.061509,6.065028
0.664550,6.076679,6.081100
0.665588,6.092150,6.096721
0.666520,6.107171,6.111140
0.667517,6.122041,6.126311
0.668523,6.137211,6.141632
0.669576,6.152532,6.157854
0.670525,6.168153,6.172273
0.671911,6.183324,6.189547
0.672518,6.199245,6.202765
0.673506,6.213815,6.217635
0.674501,6.228685,6.232805
0.675490,6.244006,6.248276
0.676501,6.259327,6.263447
0.677478,6.274197,6.278467
0.678526,6.289668,6.294088
0.679509,6.304688,6.309259
0.680499,6.320159,6.324129
0.681475,6.335180,6.339300
0.682472,6.350350,6.354470
0.683486,6.365521,6.369791
0.684497,6.380842,6.385112
0.685698,6.397965,6.403286
0.686704,6.412685,6.418006
0.687526,6.426804,6.431375
0.688523,6.442125,6.446545
0.689527,6.457596,6.461565
0.690553,6.472466,6.477487
0.691514,6.487486,6.492207
0.692538,6.503108,6.507528
0.693493,6.518128,6.522398
0.694505,6.533298,6.537569
0.695514,6.548469,6.552889
0.696503,6.563640,6.568060
0.697489,6.578810,6.583381
0.698415,6.594131,6.597350
0.699520,6.609902,6.613872
0.700547,6.624923,6.629493
0.702318,6.644299,6.656079
0.702906,6.661272,6.665692
0.703589,6.670585,6.675456
0.704509,6.686056,6.690176
0.705564,6.701226,6.705797
0.706739,6.716847,6.723070
0.707538,6.732318,6.736138
0.708586,6.747189,6.751308
0.709750,6.762509,6.768281
0.710598,6.778431,6.782551
0.711608,6.792400,6.797872
0.712526,6.808171,6.812291
0.713560,6.823492,6.828363
0.714494,6.838550,6.842482
0.715645,6.853919,6.859155
0.716542,6.868686,6.873724
0.717491,6.884183,6.888144
0.718484,6.899203,6.903164
0.719673,6.914374,6.919987
0.720619,6.930295,6.935158
0.721498,6.944865,6.949127
0.722573,6.960486,6.965349
0.723506,6.976108,6.979468
0.724491,6.990677,6.994638
0.725473,7.006148,7.009809
0.726668,7.021169,7.026632
0.728019,7.042347,7.048411
0.728623,7.053463,7.057574
0.729561,7.067431,7.072144
0.730525,7.082302,7.086413
0.731677,7.098373,7.104137
0.732609,7.113394,7.118106
0.733555,7.128114,7.132525
0.734587,7.143585,7.147996
0.735715,7.158906,7.163918
0.736612,7.173926,7.178788
0.737659,7.189547,7.194409
0.738616,7.204267,7.209280
0.739583,7.219438,7.224000
0.740545,7.234458,7.239470
0.741845,7.250229,7.256894
0.742594,7.267052,7.270412
0.743530,7.281472,7.284832
0.744480,7.295741,7.299552
0.745407,7.310611,7.313671
0.746506,7.325932,7.330043
0.747523,7.341403,7.345965
